"CONTRACT_NO","BORROWER_ID","LOAN_NAME","LOAN_TYPE","PRINCIPAL_AMOUNT","DATE_OF_ISSUE","INTEREST_RATE","INTEREST_TYPE","LOAN_PERIOD","EMI_AMOUNT","MORTAGE_TYPE","MORTAGE_AMOUNT","NO_OF_DAYS_IN_ARREARS","LOAN_STATUS"
"PLMBA014932","STK2371953","MOTOR BICYCLE ","LEASING",164850,19-01-17,36.46,"EFFECTIVE_RATE",36,7595,"VEHICLE",235500,0,"PERFORMING"
"MRMBA010316","STK321609","MOTOR BICYCLE ","LEASING",100000,24-01-17,36.31,"EFFECTIVE_RATE",24,5922,"VEHICLE",212500,-90,"PERFORMING"
"DKMBA009477","STK442614","MOTOR BICYCLE ","LEASING",136100,24-01-17,34.26,"EFFECTIVE_RATE",36,6100,"VEHICLE",325100,0,"PERFORMING"
"APMBA013021","STK374026","MOTOR BICYCLE ","LEASING",227570,24-01-17,38.48,"EFFECTIVE_RATE",36,10748,"VEHICLE",325100,-628.8,"PERFORMING"
"MGMBA018099","STK37993","MOTOR BICYCLE ","LEASING",164850,02-01-17,37,"EFFECTIVE_RATE",36,7645,"VEHICLE",235500,0,"PERFORMING"
"JFMBA008524","STK1434276","MOTOR BICYCLE ","LEASING",167230,04-01-17,41.21,"EFFECTIVE_RATE",24,10343,"VEHICLE",238900,0,"PERFORMING"
"WRMBA004274","STK2365783","MOTOR BICYCLE ","LEASING",134000,03-01-17,47.21,"EFFECTIVE_RATE",24,8730,"VEHICLE",227500,-460.8,"PERFORMING"
"KPMBA012837","STK30083","MOTOR BICYCLE ","LEASING",31500,04-01-17,46.12,"EFFECTIVE_RATE",6,5979,"VEHICLE",75000,0,"PERFORMING"
"MPMBA009033","STK2253043","MOTOR BICYCLE ","LEASING",160200,06-01-17,35.09,"EFFECTIVE_RATE",36,7255,"VEHICLE",235500,-120,"PERFORMING"
"NGMBA014622","STK2366316","MOTOR BICYCLE ","LEASING",164800,04-01-17,40.83,"EFFECTIVE_RATE",36,8009,"VEHICLE",235500,268.2,"NPL"
"JEMBA009453","STK2366417","MOTOR BICYCLE ","LEASING",290500,04-01-17,38.61,"EFFECTIVE_RATE",36,13742,"VEHICLE",415000,-30,"PERFORMING"
"HGMBA011069","STK2048288","MOTOR BICYCLE ","LEASING",165000,05-01-17,36.59,"EFFECTIVE_RATE",36,7614,"VEHICLE",235500,-240,"PERFORMING"
"POMBA010167","STK66134","MOTOR BICYCLE ","LEASING",173495,10-01-17,41.68,"EFFECTIVE_RATE",36,8518,"VEHICLE",247850,30,"PERFORMING"
"BTMBA014738","STK2367493","MOTOR BICYCLE ","LEASING",199499,09-01-17,36.59,"EFFECTIVE_RATE",36,9205,"VEHICLE",309999,292.5,"NPL"
"HGMBA011087","STK1146186","MOTOR BICYCLE ","LEASING",128000,06-01-17,36.76,"EFFECTIVE_RATE",36,5919,"VEHICLE",295000,0,"PERFORMING"
"AVMBA010413","STK2368563","MOTOR BICYCLE ","LEASING",164850,09-01-17,38.08,"EFFECTIVE_RATE",36,7748,"VEHICLE",235500,-58.2,"PERFORMING"
"MOMBA006568","STK2368845","MOTOR BICYCLE ","LEASING",174965,10-01-17,40.78,"EFFECTIVE_RATE",36,8498,"VEHICLE",249950,358.2,"NPL"
"MNMBA008449","STK1583943","MOTOR BICYCLE ","LEASING",162000,10-01-17,43.04,"EFFECTIVE_RATE",30,8905,"VEHICLE",235500,30,"PERFORMING"
"KUMBA021224","STK2370183","MOTOR BICYCLE ","LEASING",100100,11-01-17,34.67,"EFFECTIVE_RATE",30,5035,"VEHICLE",143000,295.2,"NPL"
"TRMBA010316","STK1020716","MOTOR BICYCLE ","LEASING",158350,11-01-17,41.63,"EFFECTIVE_RATE",24,9829,"VEHICLE",247850,0,"PERFORMING"
"BMMBA012138","STK2371679","MOTOR BICYCLE ","LEASING",164850,13-01-17,42.29,"EFFECTIVE_RATE",24,10292,"VEHICLE",235500,60,"PERFORMING"
"DKMBA009194","STK2371868","MOTOR BICYCLE ","LEASING",129500,13-01-17,31.4,"EFFECTIVE_RATE",24,7335,"VEHICLE",185000,0,"PERFORMING"
