date,team_1,team_2,inverted_teams,match_id,event_id,best_of,system,t1_removed_1,t1_removed_2,t1_removed_3,t2_removed_1,t2_removed_2,t2_removed_3,t1_picked_1,t2_picked_1,left_over,t1_map1_wr,t1_map2_wr,t1_map3_wr,t2_map1_wr,t2_map2_wr,t2_map3_wr
2020-03-07,Blank,Bren,0,2340153,5197,3,123412,Train,Nuke,0.0,Vertigo,Overpass,0.0,Dust2,Inferno,Mirage,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Wubbalubbadubdub,TYLOO,1,2339930,5196,3,123412,Vertigo,Overpass,0.0,Nuke,Inferno,0.0,Dust2,Train,Mirage,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,OneThree,EHOME,1,2339932,5196,3,123412,Vertigo,Overpass,0.0,Mirage,Dust2,0.0,Nuke,Train,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Skyfire,ORDER,1,2339941,5198,3,123412,Dust2,Nuke,0.0,Overpass,Train,0.0,Mirage,Vertigo,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,catman,Ground Zero,1,2340140,5198,3,123412,Train,Overpass,0.0,Dust2,Vertigo,0.0,Mirage,Nuke,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Supremacy,Infamous,0,2340138,5244,3,123412,Overpass,Nuke,0.0,Vertigo,Dust2,0.0,Mirage,Train,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Rooster,Chiefs,1,2339940,5198,3,123412,Nuke,Dust2,0.0,Overpass,Vertigo,0.0,Mirage,Train,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Ground Zero,AVANT,1,2339939,5198,3,123412,Train,Dust2,0.0,Vertigo,Mirage,0.0,Inferno,Overpass,Nuke,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,catman,Renegades,1,2339938,5198,3,123412,Train,Overpass,0.0,Vertigo,Mirage,0.0,Dust2,Inferno,Nuke,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Paper Rex,Maple,1,2340151,5197,3,123412,Mirage,Vertigo,0.0,Dust2,Inferno,0.0,Nuke,Overpass,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,JiJieHao,OneThree,1,2340146,5196,3,123412,Vertigo,Overpass,0.0,Dust2,Inferno,0.0,Mirage,Nuke,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Ze Pug Godz,eUnited,1,2339901,5178,3,123412,Train,Nuke,0.0,Mirage,Dust2,0.0,Inferno,Vertigo,Overpass,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Finest,Aequus,1,2340134,5195,3,123412,Overpass,Train,0.0,Vertigo,Dust2,0.0,Inferno,Mirage,Nuke,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Apeks,NiP,1,2339913,5135,3,123412,Train,Nuke,0.0,Dust2,Mirage,0.0,Overpass,Inferno,Vertigo,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,HZ,Lucid Dream,0,2340150,5197,3,123412,Overpass,Nuke,0.0,Vertigo,Mirage,0.0,Dust2,Train,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Mythic,Chaos,1,2339904,5178,3,123412,Train,Inferno,0.0,Vertigo,Dust2,0.0,Overpass,Nuke,Mirage,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,BIG,NiP,0,2340164,5135,3,123412,Train,Overpass,0.0,Dust2,Nuke,0.0,Inferno,Vertigo,Mirage,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,GODSENT,Complexity,1,2340166,5135,3,123412,Mirage,Train,0.0,Vertigo,Nuke,0.0,Inferno,Dust2,Overpass,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,LiViD,Cloud9,1,2339905,5178,3,123412,Dust2,Vertigo,0.0,Mirage,Nuke,0.0,Train,Overpass,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Divine,Gen.G,1,2339902,5178,3,123412,Train,Vertigo,0.0,Dust2,Overpass,0.0,Mirage,Nuke,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Dignitas,fnatic,1,2340160,5135,3,123412,Mirage,Dust2,0.0,Nuke,Train,0.0,Vertigo,Inferno,Overpass,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Swole Identity,Envy,1,2339899,5178,3,123412,Vertigo,Nuke,0.0,Dust2,Inferno,0.0,Mirage,Overpass,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Triumph,FURIA,1,2339898,5178,3,123412,Train,Mirage,0.0,Dust2,Vertigo,0.0,Overpass,Inferno,Nuke,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Heretics,Heroic,0,2340161,5135,3,123412,Train,Nuke,0.0,Mirage,Overpass,0.0,Dust2,Inferno,Vertigo,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Rugratz,Bad News Bears,1,2339900,5178,3,123412,Dust2,Overpass,0.0,Vertigo,Train,0.0,Mirage,Inferno,Nuke,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Yeah,Orgless,1,2339903,5178,3,123412,Vertigo,Overpass,0.0,Inferno,Mirage,0.0,Dust2,Nuke,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Copenhagen Flames,GODSENT,1,2339908,5135,3,123412,Dust2,Inferno,0.0,Mirage,Overpass,0.0,Nuke,Vertigo,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,KOVA,Heroic,1,2339910,5135,3,123412,Overpass,Inferno,0.0,Mirage,Dust2,0.0,Vertigo,Nuke,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,EHOME,ViCi,0,2340144,5196,3,123412,Vertigo,Train,0.0,Dust2,Inferno,0.0,Mirage,Nuke,Overpass,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,HZ,Bren,1,2340157,5197,3,123412,Overpass,Train,0.0,Vertigo,Inferno,0.0,Mirage,Nuke,Dust2,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Heretics,OG,1,2339911,5135,3,123412,Train,Overpass,0.0,Vertigo,Nuke,0.0,Dust2,Mirage,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Aequus,Yalla,1,2340135,5195,3,123412,Nuke,Train,0.0,Vertigo,Overpass,0.0,Mirage,Inferno,Dust2,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Movistar Riders,Dignitas,1,2339907,5135,3,123412,Dust2,Train,0.0,Mirage,Inferno,0.0,Overpass,Nuke,Vertigo,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,SMASH,fnatic,1,2339906,5135,3,123412,Vertigo,Dust2,0.0,Nuke,Train,0.0,Mirage,Inferno,Overpass,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Beyond,Lucid Dream,1,2340158,5197,3,123412,Nuke,Dust2,0.0,Vertigo,Train,0.0,Overpass,Mirage,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,ViCi,TYLOO,1,2340154,5196,3,123412,Dust2,Inferno,0.0,Nuke,Overpass,0.0,Vertigo,Mirage,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Nordavind,BIG,1,2339912,5135,3,123412,Train,Vertigo,0.0,Overpass,Dust2,0.0,Mirage,Inferno,Nuke,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Sprout,Complexity,1,2339909,5135,3,123412,Dust2,Vertigo,0.0,Train,Nuke,0.0,Inferno,Overpass,Mirage,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,Isurus,BOOM,0,2340000,5173,3,123412,Vertigo,Train,0.0,Nuke,Dust2,0.0,Overpass,Mirage,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,Unique,fbg,1,2340060,5109,3,123412,Overpass,Vertigo,0.0,Nuke,Inferno,0.0,Train,Mirage,Dust2,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,Camel Riders,Yalla,1,2340124,5195,3,123412,Overpass,Inferno,0.0,Vertigo,Dust2,0.0,Mirage,Nuke,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,eL'quvet,Nemiga,1,2340056,5109,3,123412,Vertigo,Inferno,0.0,Train,Mirage,0.0,Dust2,Nuke,Overpass,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,Unique,1WIN,1,2340123,5109,3,123412,Overpass,Inferno,0.0,Vertigo,Mirage,0.0,Train,Nuke,Dust2,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,Espada,HellRaisers,0,2340126,5109,3,123412,Vertigo,Inferno,0.0,Nuke,Train,0.0,Mirage,Dust2,Overpass,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,Nemiga,Hard Legion,1,2340127,5109,3,123412,Train,Mirage,0.0,Nuke,Dust2,0.0,Vertigo,Overpass,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,pro100,forZe,1,2340128,5109,3,123412,Nuke,Mirage,0.0,Vertigo,Overpass,0.0,Dust2,Inferno,Train,0.0,0.0,0.0,0.0,0.0,0.0
