,team_1,team_2,_map,result_1,result_2,map_winner,event_id,match_id,rank_1,rank_2,map_wins_1,map_wins_2,match_winner
27886,Athletico,Kings,Mirage,7,16,2,3049,2316754,131,60,7,16,2
27887,Noxide,Conspiracy,Mirage,12,16,2,3049,2317341,223,260,12,16,2
27888,Athletico,seadoggs,Cobblestone,16,3,1,3049,2317346,131,209,16,3,1
27889,Riotous,SYF,Inferno,11,16,2,3049,2317342,188,199,11,16,2
27890,Grayhound,Masterminds,Mirage,16,10,1,3049,2317344,67,225,16,10,1
27891,SIN,seadoggs,Inferno,16,7,1,3049,2317343,176,209,16,7,1
27892,FaZe,Renegades,Train,16,13,1,2956,2317277,2,14,16,13,1
27893,AEON,Evilvice,Mirage,16,13,1,3335,2317260,322,366,2,0,1
27894,Rise Nation,Mythic,Cobblestone,16,6,1,3048,2317303,41,77,2,0,1
27895,Liquid,Gambit,Mirage,19,16,1,2956,2317275,8,10,19,16,1
27896,G2,Renegades,Cobblestone,9,16,2,2956,2317276,4,14,9,16,2
27897,Ghost Academy,FRENCH CANADIANS,Cache,16,6,1,3048,2317300,98,63,2,1,1
27898,Ghost Academy,FRENCH CANADIANS,Nuke,8,16,2,3048,2317300,98,63,2,1,1
27899,Ghost Academy,FRENCH CANADIANS,Mirage,16,13,1,3048,2317300,98,63,2,1,1
27900,SoaR,Beacon,Cache,16,7,1,3048,2317301,59,83,2,0,1
27901,SoaR,Beacon,Inferno,16,3,1,3048,2317301,59,83,2,0,1
27902,Liquid,Renegades,Cache,19,17,1,2956,2317274,8,14,19,17,1
27903,OpTic,FaZe,Overpass,3,16,2,2956,2317273,19,2,3,16,2
27904,AEON,Evilvice,Overpass,16,13,1,3335,2317260,322,366,2,0,1
27905,OpTic,Gambit,Train,16,7,1,2956,2317272,19,10,16,7,1
27906,Envy,Astralis,Inferno,11,16,2,2956,2317269,13,3,11,16,2
27907,SK,TheMongolz,Mirage,16,6,1,2956,2317270,1,116,16,6,1
27908,HAVU,EnVyUs Academy,Inferno,16,14,1,3290,2317252,34,82,16,14,1
27909,forZe,GoodJob,Inferno,6,16,2,3290,2316997,58,121,6,16,2
27910,G2,FaZe,Overpass,14,16,2,2956,2317271,4,2,14,16,2
27911,GoodJob,Tricked,Cobblestone,16,19,2,3333,2316750,121,45,16,19,2
27912,Cloud9,SK,Train,16,7,1,2956,2317283,7,1,16,7,1
27913,Nexus,ZetMac,Cache,16,9,1,3323,2317204,48,323,2,0,1
27914,Nexus,ZetMac,Mirage,16,10,1,3323,2317204,48,323,2,0,1
27915,Envy,Cloud9,Cobblestone,16,8,1,2956,2317281,13,7,16,8,1
27916,eXtatus,Space Soldiers,Cobblestone,22,20,1,3047,2317336,40,18,2,0,1
27917,eXtatus,Space Soldiers,Mirage,16,6,1,3047,2317336,40,18,2,0,1
27918,TheMongolz,Astralis,Inferno,6,16,2,2956,2317285,116,3,6,16,2
27919,Envy,NiP,Nuke,11,16,2,2956,2317284,13,9,11,16,2
27920,NiP,TheMongolz,Train,16,5,1,2956,2317282,9,116,16,5,1
27921,Virtus.pro,AGO,Inferno,13,16,2,3047,2317337,6,24,1,2,2
27922,Virtus.pro,AGO,Mirage,16,13,1,3047,2317337,6,24,1,2,2
27923,North Academy,Red Reserve,Train,16,6,1,3228,2317168,37,52,2,1,1
27924,North Academy,Red Reserve,Inferno,19,16,1,3228,2317168,37,52,2,1,1
27925,North Academy,Red Reserve,Overpass,6,16,2,3228,2317168,37,52,2,1,1
27926,GameAgents,Nexus,Cache,16,8,1,3333,2316784,132,48,16,8,1
27927,Epsilon,Squared,Train,14,16,2,3354,2317299,72,167,14,16,2
27928,Virtus.pro,AGO,Train,2,16,2,3047,2317337,6,24,1,2,2
27929,SK,Astralis,Overpass,21,25,2,2956,2317279,1,3,21,25,2
27930,WASD,Movistar Riders,Train,16,10,1,3323,2317205,74,92,2,1,1
27931,Pompa,PUR$i$EURA,Cache,16,12,1,3323,2317206,124,146,2,1,1
27932,BIG,Natus Vincere,Overpass,15,19,2,3122,2317152,20,16,2,1,1
27933,BIG,Natus Vincere,Cobblestone,16,12,1,3122,2317152,20,16,2,1,1
27934,Virtus.pro,mousesports,Train,11,16,2,3059,2317323,6,11,11,16,2
27935,WASD,Movistar Riders,Overpass,16,4,1,3323,2317205,74,92,2,1,1
27936,WASD,Movistar Riders,Nuke,14,16,2,3323,2317205,74,92,2,1,1
27937,BIG,Natus Vincere,Train,16,13,1,3122,2317152,20,16,2,1,1
27938,HAVU,passions,Train,16,12,1,3276,2317333,34,85,16,12,1
27939,NiP,Cloud9,Overpass,16,4,1,2956,2317280,9,7,16,4,1
27940,mousesports,Virtus.pro,Cobblestone,16,5,1,3059,2317324,11,6,16,5,1
27941,HAVU,NYYRIKKI,Train,16,7,1,3276,2317311,34,196,16,7,1
27942,Pompa,PUR$i$EURA,Train,16,9,1,3323,2317206,124,146,2,1,1
27943,Pompa,PUR$i$EURA,Overpass,14,16,2,3323,2317206,124,146,2,1,1
27944,Valiance,ALTERNATE aTTaX,Inferno,16,3,1,3354,2317229,44,57,16,3,1
27945,EPG,GameAgents,Mirage,17,19,2,3320,2317257,95,132,17,19,2
27946,Nemiga,LDLC,Cobblestone,14,16,2,3208,2317250,56,25,1,2,2
27947,Nemiga,LDLC,Mirage,16,14,1,3208,2317250,56,25,1,2,2
27948,Nemiga,LDLC,Inferno,4,16,2,3208,2317250,56,25,1,2,2
27949,pro100,EPG,Cache,14,16,2,3343,2317219,64,95,1,2,2
27950,aAa,TTFU,Inferno,10,16,2,3290,2317251,47,104,10,16,2
27951,Tainted Minds,Athletico,Cache,13,16,2,3049,2316752,62,131,13,16,2
27952,pro100,EPG,Inferno,10,16,2,3343,2317219,64,95,1,2,2
27953,pro100,EPG,Nuke,16,1,1,3343,2317219,64,95,1,2,2
27954,Spirit Academy,Sherifi,Train,16,9,1,3320,2317258,107,122,16,9,1
27955,Athletico,Riotous,Cobblestone,4,16,2,3049,2317249,131,188,4,16,2
27956,SIN,Legacy,Overpass,14,16,2,3049,2317247,176,117,14,16,2
27957,Grayhound,Dark Sided,Mirage,16,9,1,3049,2316756,67,152,16,9,1
27958,Spirit Academy,Valiance,Nuke,8,16,2,3354,2317331,107,44,8,16,2
27959,Corvidae,Tainted Minds,Cobblestone,1,16,2,3049,2317307,187,62,1,16,2
27960,Legacy,SYF,Cache,13,16,2,3049,2317248,117,199,13,16,2
27961,Dark Sided,Masterminds,Inferno,16,12,1,3049,2317306,152,225,16,12,1
27962,SetToDestroyX,Naventic,Overpass,6,16,2,3322,2316994,267,102,1,2,2
27963,SetToDestroyX,Naventic,Cobblestone,14,16,2,3322,2316994,267,102,1,2,2
27964,SoaR,Beacon,Overpass,16,11,1,3322,2316923,59,83,2,0,1
