team_won,team_lost,winning_score,losing_score
Unicorns of Love,Syman,2,0
PACT,Izako Boars,2,0
ENCE,SJ,2,0
demise,clockwork,16,14
Lyngby Vikings,DETONA,16,11
FURIA,Astralis,2,1
ALTERNATE aTTaX,AVEZ,16,8
CR4ZY,Movistar Riders,16,11
demise,liminka,16,8
Lyngby Vikings,DETONA,16,8
ALTERNATE aTTaX,AVEZ,25,22
Virtus.pro,AGO,2,0
CR4ZY,Epsilon,16,13
TYLOO,ViCi,2,1
Complexity,MIBR,2,1
GamerLegion,Epsilon,16,5
BTRG,IPET,2,0
8EASY,NIRVANA,2,0
Astralis,NIP,2,0
BTRG,Aster,2,0
IPET,wNv,2,0
TYLOO,EHOME,2,0
NIRVANA,Very1z,2,1
ViCi,5POWER,2,0
8EASY,Vital Spark,2,0
eUnited,Singularity,2,1
The Quest,Prospects,16,2
Ascent,Party Astronauts,16,12
Rugratz,Prospects,16,6
INTZ,Isurus,2,0
The Quest,ATK,16,11
BLITZKRIEG,Mythic,16,9
Envy,TeamOne,2,1
INTZ,Inflames,2,0
North,Vitality,2,1
Valiance,Salamander,2,0
INTZ,Reapers,2,0
Sprout,OpTic,2,1
GamerLegion,expert,16,11
Inflames,9z,2,0
Chaos,Epsilon,16,1
Unique,PACT,2,1
CR4ZY,Chaos,16,4
NRG,FURIA,2,0
CR4ZY,AGO,16,9
Chaos,GamerLegion,16,7
GameAgents,Giants,16,5
Spirit,AGO,19,16
Movistar Riders,Izako Boars,16,9
North,MIBR,25,23
EHOME,NIRVANA,2,0
wNv,Avengers,2,0
TYLOO,8EASY,2,0
Aster,Thirteen,2,0
Vitality,Complexity,16,9
Justice,Fanta,16,9
Ground Zero,Paradox,16,12
5POWER,BTRG,2,0
Fanta,MC,19,16
Very1z,Go1dShark,2,0
Jade,DINQ,16,9
ORDER,Paradox,16,10
SYF,Downfall,16,6
Chiefs,Rooster,16,5
NRG,NIP,16,11
ViCi,IPET,2,0
Vital Spark,Rstar,2,0
ex-Athletico,MC,16,14
Ground Zero,SYF,16,13
rewound,Fanta,16,2
ORDER,Downfall,16,2
NIRVANA,Thirteen,2,1
FURIA,Astralis,16,14
ex-Athletico,Paradox,16,10
MC,DINQ,16,10
rewound,Downfall,16,4
Ground Zero,Jade,16,8
EHOME,Aster,2,0
ORDER,Rooster,1,0
8EASY,wNv,2,0
TYLOO,Avengers,2,0
Ground Zero,MC,16,7
IPET,Vital Spark,2,1
BTRG,Very1z,2,0
5POWER,Go1dShark,2,0
ViCi,Rstar,2,0
Sharks,Isurus,2,1
Thunder Logic,Prospects,16,12
BLITZKRIEG,Rugratz,16,10
Party Astronauts,Prospects,16,12
eUnited,New Identity,16,9
TeamOne,Bad News Bears,19,16
Envy,Thunder Logic,16,8
Singularity,Party Astronauts,16,9
Reapers,paiN,2,1
Inflames,Redemption POA,2,0
Sprout,Winstrike,16,4
Valiance,Aristocracy,19,16
Salamander,Nordavind,19,17
OpTic,FrenchFrogs,16,12
Winstrike,Youngsters,16,7
Sprout,PIXELBANDITS,16,13
FrenchFrogs,Syman,16,14
Salamander,pullerZ,16,11
Valiance,BLUEJAYS,16,7
Nordavind,Espada,16,10
Aristocracy,Tricked,16,13
Defusekids,Sector One,2,0
OpTic,pro100,16,12
Redemption POA,RED Canids,2,0
Inflames,TRZ,2,0
Isurus,9z,2,0
ENCE,KOVA,2,0
paiN,W7M,2,1
Reapers,Falkol,2,0
Sharks,INTZ,2,0
x-kom,HAVU,16,8
Spirit,expert,16,13
Sprout,Movistar Riders,16,13
HAVU,x-kom,16,7
Spirit,Izako Boars,16,5
CR4ZY,ALTERNATE aTTaX,16,3
Chiefs,rewound,16,9
Rooster,Justice,16,9
rewound,MC,16,12
Chiefs,DINQ,16,5
Jade,Justice,16,12
ORDER,DINQ,16,7
Genuine,Jade,16,6
Grayhound,MC,16,13
ORDER,Fanta,1,0
Mythic,Prospects,16,14
ATK,TeamOne,16,10
9z,W7M,2,0
Variance,BLITZKRIEG,19,17
Ascent,Peeker's Advantage,16,14
TRZ,EOX,2,1
Mythic,Hysteria,2,1
Isurus,Falkol,2,0
Singularity,Big Frames,2,0
Thunder Logic,ATK,16,14
Bad News Bears,BLITZKRIEG,19,17
RED Canids,Sons of Scoots,2,0
Thunder Logic,New Identity,16,11
Singularity,Variance,16,9
Sharks,Inflames,2,1
The Quest,Rugratz,2,0
Reapers,SpaceStress,2,1
INTZ,Redemption POA,2,0
paiN,Evidence,2,0
Hysteria,Thunder Logic,16,8
Mythic,SODMG,16,10
Rugratz,GGPR,16,5
The Quest,Holo,16,10
Thunder Logic,Altima,19,17
SODMG,Strings' Llama Pack,16,8
GGPR,Moscow Five Yankees,16,11
The Quest,Collateral,16,1
9z,Sons of Scoots,2,1
Hysteria,Mountain Dew,16,4
Mythic,Glizzy Gang,16,1
Rugratz,Nfinite,16,1
W7M,RED Canids,2,0
Holo,Falcons,1,0
Ancient,Chaos,2,0
Virtus.pro,ad hoc,2,0
Falkol,EOX,2,0
Isurus,TRZ,2,0
Sharks,Reapers,2,1
Chaos,Epsilon,19,16
Virtus.pro,Aristocracy,19,16
INTZ,Evidence,2,1
ad hoc,PACT,16,13
Ancient,AGO,16,9
CR4ZY,Spirit,16,2
Inflames,SpaceStress,2,0
Nemiga,Monolith,2,0
OFFSET,Endpoint,2,1
Spirit,Sprout,16,12
Redemption POA,paiN,2,0
CR4ZY,pro100,16,5
Epsilon,SJ,16,10
PACT,Movistar Riders,16,11
Aristocracy,LDLC,16,12
AGO,Vantage,16,12
Virtus.pro,Nexus,16,11
ad hoc,STEP,16,14
Ancient,FrenchFrogs,16,7
CR4ZY,expert,16,10
Chaos,SamerTajm,16,9
x-kom,GamerLegion,16,7
GamerLegion,Virtus.pro,16,5
Chiefs,Justice,16,3
Genuine,MC,16,9
Justice,Downfall,25,22
DINQ,Fanta,16,7
Genuine,SYF,16,4
Genuine,Fanta,16,8
ex-Athletico,Downfall,16,3
Grayhound,SYF,16,4
ex-Athletico,Jade,16,14
Genuine,Rooster,16,6
Ground Zero,ex-Athletico,16,14
Rugratz,Mythic,2,0
Singularity,BLITZKRIEG,16,10
Party Astronauts,The Quest,16,12
ATK,Variance,16,8
New Identity,Singularity,16,7
ATK,New Identity,16,12
Singularity,Mythic,16,5
RED Canids,Redemption POA,2,1
Reapers,paiN,2,1
Nemiga,FrenchFrogs,2,1
NONAME,buaksib,2,1
EXTREMUM,Zorka,2,0
CR4ZY,GamerLegion,16,10
W7M,Inflames,1,0
Zorka,OneWay,22,20
Sprout,GamerLegion,16,13
EXTREMUM,Ambulance,16,9
NONAME,Defying Gravity,16,10
buaksib,HealthPoint,16,9
Sprout,Virtus.pro,16,8
Grayhound,Paradox,16,8
Chiefs,Genuine,16,6
Ground Zero,Downfall,16,7
AVANT,ORDER,2,1
SYF,Justice,16,10
Ground Zero,Rooster,16,14
Jade,Paradox,16,4
Grayhound,ex-Athletico,16,9
Chiefs,Downfall,16,5
Paradox,SYF,16,12
DINQ,Rooster,16,6
ORDER,rewound,2,0
SYF,Fanta,1,0
Infinity,Volta7,2,0
Rugratz,Variance,16,8
TeamOne,Prospects,2,0
The Quest,BLITZKRIEG,16,13
ATK,Party Astronauts,2,1
Variance,Thunder Logic,16,10
Liquid,ENCE,2,1
Izako Boars,Ambush,2,1
Game Fist,mCon,2,1
forZe,Virtus.pro,16,10
Brute,eXtatus,3,2
Tricked,SJ,2,0
Grayhound,AVANT,2,1
SHIFT,24BHB,2,0
rewound,Ground Zero,2,0
1hp,Paradise,2,1
Downfall,Jade,16,7
SHIFT,Paradise,2,0
ORDER,Genuine,2,0
24BHB,1hp,2,0
Bad News Bears,The Quest,2,1
Peeker's Advantage,New England Whalers,2,0
ENCE,FaZe,2,0
Peeker's Advantage,Rugratz,16,10
New England Whalers,Mythic,16,13
Bad News Bears,Prospects,16,12
Peeker's Advantage,GGPR,16,8
The Quest,Legacy of Desi Boys,16,3
Mythic,LiViD,16,12
Prospects,Hysteria,16,14
New England Whalers,Holo,16,10
Rugratz,Ohio Meat Wagon,16,1
The Quest,Glizzy Gang,16,1
Nordavind,FrenchFrogs,2,0
Legacy of Desi Boys,Ragin Foxes,1,0
Bad News Bears,Cyclone,1,0
Liquid,FURIA,2,0
1337HUANIA,Wolsung,2,1
Tricked,Aristocracy,2,0
EsportsAdviser,Wildfire,2,1
fightclub,Singularity Academy,2,0
FrenchFrogs,AGO,19,15
Aristocracy,Copenhagen Flames,16,11
Nordavind,Movistar Riders,16,9
Tricked,Giants,16,10
1337HUANIA,FiGURE05,2,1
FrenchFrogs,Ancient,19,16
AGO,HAVU,16,14
Movistar Riders,SJ,16,11
Copenhagen Flames,Chaos,16,12
Nordavind,Epsilon,16,10
Aristocracy,PACT,16,9
Tricked,ALTERNATE aTTaX,16,6
Giants,MOLDOVENII,16,4
fightclub,FOTW,2,0
Lilmix,Monarchs,2,0
rewound,PC419,2,0
Grayhound,Genuine,2,0
Wolsung,WORTEX,2,1
Singularity Academy,DUSTY,2,0
AVANT,Ground Zero,2,0
ORDER,Paradox,2,0
Genuine,rewound,2,0
Grayhound,PC419,2,0
AVANT,ORDER,2,1
Ground Zero,Paradox,2,0
FaZe,G2,2,0
W7M,RED Canids,2,1
Reapers,EOX,2,1
Wildfire,Lilmix,2,0
Inflames,Redemption POA,2,1
FURIA,Vitality,2,0
Inflames,DETONA,19,17
FASTLOSE,fightclub,16,6
KOVA,hREDS,2,1
EsportsAdviser,Monarchs,2,1
FASTLOSE,/dab/,16,9
Se7en,LOG,2,0
Dracarys,NorBant,2,0
/dab/,DOG77,16,8
Dracarys,5balls,16,8
Se7en,QtabENTER,16,13
LOG,OwmS,16,14
paiN,DETONA,1,0
NorBant,g4m3rZ,16,7
Epsilon,Virtus.pro,16,13
MVP PK,Mazaalai,2,0
Mazaalai,Ignis,2,0
Peeker's Advantage,TeamOne,25,23
ENCE,FURIA,2,1
Luminosity,INTZ,2,0
Infinity,NONAME,2,0
G2,Renegades,2,1
Mythic,Chris and the boys,16,10
Party Astronauts,Bad News Bears,16,13
New Identity,Mythic,16,11
Thunder Logic,Peeker's Advantage,16,7
ATK,Chris and the boys,16,5
Party Astronauts,New Identity,16,12
Bad News Bears,Mythic,16,9
Liquid,FaZe,2,1
ATK,Chris and the boys,2,0
INTZ,Polar Ace,2,0
Vitality,North,2,0
G2,NRG,2,1
Renegades,fnatic,2,1
forZe,expert,16,5
GamerLegion,ALTERNATE aTTaX,16,13
Movistar Riders,expert,19,16
Epsilon,pro100,16,7
GamerLegion,Spirit,16,8
forZe,HAVU,16,10
Movistar Riders,Spirit,16,13
Ignis,Absolute,2,0
MVP PK,Mazaalai,2,0
AGO,forZe,16,11
HAVU,Spirit,16,5
Tricked,Winstrike,2,0
Grayhound,Justice,16,8
MC,Rooster,16,7
Absolute,Updraft,2,0
ex-Athletico,SYF,16,13
Chiefs,Jade,16,4
MC,Downfall,16,5
Ignis,TheMongolz,2,0
Party Astronauts,The Quest,2,1
Singularity,Ascent,16,3
New Identity,Bad News Bears,2,0
BLITZKRIEG,Party Astronauts,1,0
Volta7,Denial,1,0
FURIA,fnatic,2,0
North,Windigo,2,0
INTZ,Peeker's Advantage,16,11
ATK,TeamOne,16,13
Luminosity,Polar Ace,16,6
Chris and the boys,Grizzlys,16,10
The Quest,GGPR,19,16
Bad News Bears,Rugratz,19,17
Tribo Fu,paiN,16,13
ENCE,G2,2,1
DETONA,RED Canids,16,4
Santos,Reapers,16,7
Vitality,NIP,2,0
Party Astronauts,New England Whalers,16,1
New Identity,Lowkey,16,3
Bad News Bears,shoot back,22,19
The Quest,ETHEREAL,19,16
New England Whalers,Bust Down,16,14
RED Canids,W7M,25,22
Rugratz,No Cap,16,10
GGPR,absolute mad lads,16,13
New Identity,LiViD,16,6
Party Astronauts,Thunder Logic,16,3
Lowkey,Glizzy Gang,16,2
Maknitude,Chaos,2,1
NRG,Cloud9,2,1
Renegades,Isurus,2,1
GamerLegion,Epsilon,2,0
Sprout,forZe,16,10
Chaos,FrenchFrogs,16,12
Maknitude,STEP,16,7
GamerLegion,Nexus Academy,16,5
Epsilon,MegaWonsz9,16,7
forZe,Izako Boars,22,20
Nexus Academy,BuzzKill,16,14
STEP,AGO,16,13
Chaos,Youngsters,16,5
GamerLegion,Giants,16,13
Epsilon,x-kom,16,9
Maknitude,LDLC,16,8
FrenchFrogs,Endpoint,16,5
MegaWonsz9,Lilmix,16,3
Spirit,ALTERNATE aTTaX,16,10
Epsilon,forZe,16,6
MVP PK,Ignis,2,0
Updraft,D13,2,0
Nordavind,Nemiga,2,0
Chiefs,ex-Athletico,16,8
Mazaalai,Absolute,2,0
TheMongolz,ahq,2,0
ex-Athletico,Rooster,16,9
MVP PK,Updraft,2,0
Ignis,D13,2,0
Mazaalai,TheMongolz,2,1
Absolute,ahq,2,0
Volta7,aiMMode,2,0
FaZe,NIP,2,0
Ascent,Mythic,16,4
TeamOne,Prospects,16,5
The Quest,Mythic,16,11
Windigo,TYLOO,2,0
Thunder Logic,TeamOne,16,8
Singularity,ATK,16,4
Liquid,North,2,0
Vitality,Lucid Dream,2,0
paiN,W7M,2,1
fnatic,Cloud9,16,7
DETONA,Redemption POA,16,4
FURIA,NRG,16,7
G2,Renegades,19,17
ENCE,Isurus,16,4
Energy,Goliath,2,1
Warthox,HealthPoint,2,1
FaZe,Windigo,16,7
NIP,TYLOO,16,13
NOTBAD,NorBant,2,0
North,Vitality,16,14
Liquid,Lucid Dream,16,7
HealthPoint,NONAME,16,13
NOTBAD,LOG,16,14
Warthox,buaksib,16,14
NorBant,SG.pro,16,14
Energy,Sinister5,2,0
Chaos,Virtus.pro,2,0
Justice,DINQ,16,11
ex-Athletico,Fanta,1,0
Infinity,low mangoes,2,0
Bad News Bears,Variance,16,2
ATK,BLITZKRIEG,16,13
Bad News Bears,Thunder Logic,16,3
W7M,Inflames,2,1
Sinister5,TOLY,2,0
Goliath,Energy,2,0
Epsilon,expert,16,8
Sinister5,Big 5,2,1
Chaos,Izako Boars,16,12
CR4ZY,Virtus.pro,16,13
HAVU,AGO,16,13
expert,Chaos,16,11
Movistar Riders,GamerLegion,16,12
Ancient,SJ,16,9
TOLY,Exdee,2,1
expert,Syman,16,7
Virtus.pro,ALTERNATE aTTaX,19,17
x-kom,Ancient,2,1
ORDER,ex-Athletico,16,2
ORDER,rewound,16,13
Chiefs,SYF,16,13
ORDER,Genuine,16,8
Grayhound,rewound,16,6
TeamOne,GGPR,2,0
Lazarus,The Quest,2,0
Vitality,Liquid,2,0
TeamOne,New Identity,22,20
GGPR,Peeker's Advantage,16,11
The Quest,Lowkey,16,8
Lazarus,Sadbots,16,8
The Quest,fulfill,16,9
Sadbots,Thunder Logic,16,12
GGPR,Royal,16,9
TeamOne,New England Whalers,16,8
Lowkey,Infinity,16,4
Lazarus,Big Frames,16,9
Liquid,NRG,2,0
New Identity,Onyx,16,4
Apeks,Nordavind,2,1
Peeker's Advantage,Hentai Hooligans,1,0
Sinister5,ViNCO,2,0
Goliath,TOLY,2,0
Sprout,Epsilon,2,1
FFAmix,NASR,2,1
W7M,DETONA,2,0
NoChance,PACT,2,0
Vitality,ENCE,2,1
Energy,Big 5,2,1
Exdee,Ladon,2,1
NoChance,Virtus.pro,16,11
Sprout,Chaos,16,14
PACT,AGO,16,14
Epsilon,Denzaaaa,16,10
Nemiga,Izako Boars,2,1
Chaos,BuzzKill,16,9
NoChance,finkatt,16,14
Sprout,GameAgents,16,14
Denzaaaa,Lyngby Vikings,16,13
Virtus.pro,Pompa Black,16,14
AGO,ALTERNATE aTTaX,16,5
Dark Tigers,eSuba,2,0
PACT,FATE,16,5
Epsilon,Ambush,16,8
FFAmix,NOM,2,1
TOLY,Sinister5,2,0
Goliath,ViNCO,2,0
Energy,Exdee,2,1
Virtus.pro,SJ,2,0
Absolute Legends,Gravity,2,0
x-kom,PACT,2,0
Big 5,Ladon,2,0
Liquid,NRG,16,13
NRG,Liquid,16,12
Liquid,Renegades,16,11
Denial,Furious,2,1
Liquid,Renegades,16,8
DETONA,9z,2,1
Renegades,Vitality,16,13
FURIA,The Quest,16,13
Vitality,Renegades,16,14
NASR,NOM,2,1
Ghost,ENCE,16,14
FFAmix,Aequus,2,0
W7M,Denial,2,0
ENCE,Ghost,16,6
pro100,Warthox,2,0
eSuba,Absolute Legends,2,0
Unique,EXTREMUM,2,0
ENCE,Vitality,16,9
pro100,Se7en,16,12
Warthox,Espada,16,11
Vitality,ENCE,16,7
Unique,Ekaterinburg,16,12
EXTREMUM,N4M1N0R,16,12
Nordavind,Stabæk Momentum,2,0
Dark Tigers,Gravity,2,1
FFAmix,nonamer5,1,0
x-kom,Codewise Unicorns,2,0
Apeks,Riddle,2,0
Aequus,Italy,2,0
PACT,Izako Boars,2,0
Ghost,Renegades,16,13
Furious,Malvinas,16,12
Denial,Fit-Pel,16,8
Ghost,Renegades,16,14
FURIA,Bushido Boyz,16,11
Reapers,Malvinas,2,1
FURIA,Singularity,16,12
NRG,Ghost,16,9
MIBR,Liquid,2,1
9z,Denial,2,1
Redemption POA,Furious,2,1
NRG,Ghost,16,5
SpaceStress,Fit-Pel,2,0
NRG,ENCE,16,3
paiN,Tribo Fu,2,0
ENCE,NRG,16,13
OpTic,fnatic,2,1
fightclub,FASTLOSE,16,13
NASR,Aequus,2,1
Liquid,ENCE,16,3
fightclub,Highscore,16,12
ENCE,Liquid,16,14
FFAmix,Ramadanpeek,2,0
Vitality,Liquid,16,12
fightclub,Nettisankarit,16,3
AGO,Sharks,16,11
NOM,nonamer5,2,1
Vitality,Liquid,16,3
Nemiga,FrenchFrogs,16,13
Italy,Portal,2,0
Winstrike,Sharks,2,1
Alpha Red,BOOT,2,1
Aequus,FFAmix,2,1
NASR,Ramadanpeek,2,0
Ground Zero,Converge,2,0
Alpha Red,Lucid Dream,2,1
Aster,ToyStory,2,0
Avengers,Lynn Vision,2,0
NOM,Italy,2,0
nonamer5,Portal,2,0
PC419,AGN,2,0
Go1dShark,Fantasy,1,0
Rstar,NMSL,2,0
eUnited,Infinity,2,0
NRG,Renegades,16,8
NRG,Renegades,16,13
Ascent,Chris and the boys,16,14
ENCE,Renegades,16,12
Cloud9,Ghost,2,1
FURIA,BLITZKRIEG,16,4
Bushido Boyz,Chris and the boys,22,19
Renegades,ENCE,16,14
FURIA,Thunder Logic,16,5
Singularity,Rugratz,16,11
Bad News Bears,FURIA,16,7
Vitality,NRG,16,7
New Identity,Variance,1,0
Liquid,INTZ,2,0
Vitality,NRG,22,20
North,BIG,2,0
Vitality,Ghost,16,9
Vitality,Ghost,22,20
OpTic,FaZe,2,0
Heroic,Natus Vincere,2,1
Movistar Riders,Chaos,16,6
GamerLegion,HAVU,16,8
Liquid,Ghost,16,11
Chaos,AGO,16,11
Spirit,Virtus.pro,22,19
Sprout,HAVU,16,14
Liquid,Ghost,16,10
Unicorns of Love,DreamEaters,16,8
Izako Boars,forZe,2,0
BOOT,Lucid Dream,2,1
Alpha Red,Maple,2,0
Virtus.pro,expert,16,10
x-kom,SJ,2,1
Maple,TNC,2,0
MC,Content,1,0
MC,Jade,16,7
SYF,DINQ,16,5
Grayhound,ORDER,2,0
Alpha Red,Beyond,2,0
Cloud9,Infinity,2,0
Ghost,eUnited,2,1
All Knights,Furious,2,0
FURIA,Mythic,16,8
W7M,ratoes,2,0
FURIA,Rugratz,16,6
Singularity,Bushido Boyz,16,8
paiN,RED Canids,2,1
MIBR,Cloud9,2,0
North,Heroic,2,0
fnatic,AVANGAR,2,1
Epsilon,ALTERNATE aTTaX,16,5
x-kom,pro100,16,12
ALTERNATE aTTaX,Izako Boars,19,17
AGO,expert,16,14
Natus Vincere,BIG,2,0
CR4ZY,forZe,16,11
Ancient,Virtus.pro,2,1
Chaos,HAVU,16,14
x-kom,Sprout,16,9
GamerLegion,forZe,16,13
Epsilon,Spirit,16,8
Chaos,pro100,16,8
TNC,VG.Anthrax,2,0
BOOT,Beyond,2,0
Spirit,x-kom,16,5
Paradox,Fanta,16,3
Nemiga,Epsilon,16,14
Paradox,Downfall,16,14
Sharks,Vega Squadron,2,0
Grayhound,Chiefs,2,0
Alpha Red,AOES,2,1
Lucid Dream,Maple,2,0
Beyond,TNC,2,1
Grayhound,DINQ,16,4
BOOT,VG.Anthrax,2,0
Maple,Alpha Red,2,0
Ghost,Infinity,2,0
Lucid Dream,AOES,2,0
INTZ,Luminosity,2,1
Cloud9,eUnited,2,1
NONAME,Divine Soldiers,2,0
Liquid,Spacestation,2,0
ratoes,Santos,19,17
FURIA,Ascent,16,6
WePlayGames,W7M,16,13
FURIA,Variance,16,8
Inflames,paiN,22,19
RED Canids,Itakera Classic,16,3
MIBR,Singularity,2,0
Heroic,BIG,2,0
Cloud9,eUnited,2,0
RED Canids,WePlayGames,16,12
Inflames,Santos,16,9
Evidence,Redemption POA,2,0
paiN,W7M,16,6
Falkol,Alma,2,0
RED Canids,MITOS,2,0
TRZ,Neverest,2,0
Bulldozer,DETONA,16,14
OpTic,NIP,2,0
FaZe,G2,2,0
Redemption POA,Reapers,16,8
North,Natus Vincere,2,1
Epsilon,HAVU,2,0
AGO,expert,16,4
AVANGAR,mousesports,2,1
Chaos,SJ,16,11
fnatic,Virtus.pro,2,1
Winstrike,Epsilon,2,1
GamerLegion,Izako Boars,16,9
Spirit,forZe,16,0
Sprout,expert,16,6
Movistar Riders,HAVU,16,13
Chaos,Nemiga,2,0
Ground Zero,Genuine,16,7
rewound,Justice,16,14
Chiefs,ORDER,2,1
rewound,Genuine,16,11
Rooster,Fanta,16,9
Denial,Fake Aim,2,0
FURIA,ATK,16,13
FURIA,Chris and the boys,16,1
paiN,Inflames,2,0
Ancient,Copenhagen Flames,2,0
Izako Boars,ex-Fragsters,16,3
Winstrike,Youngsters,2,0
Copenhagen Flames,AGO,2,1
x-kom,Vega Squadron,2,0
Tricked,Nemiga,2,1
Fighting 4 Freedom,Athletico,3,0
Ancient,x-kom,2,0
Chiefs,Paradox,16,4
Jade,Rooster,16,9
Very1z,NONAME,2,0
wNv,NMSL,2,0
Ground Zero,Justice,16,9
NIRVANA,Wolf5,2,0
IPET,Rstar,2,0
AVANT,madlikewizards,2,0
Genuine,SYF,2,0
Bad News Bears,Singularity,2,1
Malvinas,Furious,2,1
Ancient,forZe,2,1
Nordavind,SJ,2,0
AGO,Chaos,2,1
mousesports,Valiance,2,0
x-kom,HAVU,2,0
Copenhagen Flames,LPSP,2,0
x-kom,Nemiga,16,14
Valiance,G2,2,1
Ground Zero,ORDER,16,14
mousesports,AVANGAR,2,0
HAVU,Unique,2,0
LPSP,SJ,2,0
G2,FrenchFrogs,2,0
expert,Berzerk,2,0
ViNCO,Online Kingdom,2,1
AGO,Unique,2,1
Exdee,White Rabbit,2,0
TOLY,Scorpions,2,0
Ladon,eDGe,2,0
forZe,SJ,2,0
mousesports,Windigo,2,0
expert,PANTHERS,2,1
G2,Ghost,2,1
Maple,Recca,2,0
VG.Anthrax,Exodus,1,1
Berzerk,Unicorns of Love,2,0
Windigo,Instinct,2,0
HAVU,Sharks,2,0
LPSP,LDLC,2,0
Chaos,Epsilon,2,0
Unique,HAVU,2,0
FASTLOSE,LongHAIRidc,16,9
LongHAIRidc,24SJU,16,9
SJ,LDLC,2,0
forZe,LPSP,2,1
24SJU,Feniks,16,1
AVANGAR,FrenchFrogs,16,13
Spotnet,MishMish,2,0
AGO,Sharks,2,0
Ramadanpeek,-0_o-,2,0
Valiance,mousesports,16,6
AVANGAR,Ghost,16,11
Updraft,2990,2,1
Valiance,Windigo,16,5
Epsilon,AGO,16,2
FrenchFrogs,G2,19,15
TheMongolz,E-MATiC,2,1
mousesports,Instinct,16,4
Isurus,Complexity,2,1
Chiefs,Fanta,16,5
Chris and the boys,Prospects,16,4
paiN,DETONA,2,0
ATK,Ascent,19,17
Chris and the boys,BLITZKRIEG,16,8
Furious,S2N,2,1
MIBR,Renegades,2,0
Peeker's Advantage,Party Astronauts,16,9
Prospects,Bushido Boyz,16,14
Singularity,The Quest,16,11
TeamOne,BLITZKRIEG,16,7
Inflames,Reapers,2,1
MIBR,Liquid,2,0
WePlayGames,Santos,16,2
NIP,AVANGAR,2,1
fnatic,Aristocracy,2,0
Ancient,GamerLegion,2,1
Inflames,Itakera Classic,16,6
Chaos,Epsilon,2,0
HellRaisers,OpTic,2,0
ALTERNATE aTTaX,HAVU,16,8
Vitality,Spirit,16,10
Virtus.pro,Sharks,2,1
Copenhagen Flames,GamerLegion,2,1
x-kom,Chaos,2,1
Nemiga,OwmS,16,8
Vitality,Epsilon,16,8
forZe,pro100,16,4
Tricked,DreamEaters,16,9
MVP PK,Alpha Red,2,0
Ancient,Izako Boars,2,0
Justice,MC,25,22
TYLOO,Lucid Dream,2,0
ex-Athletico,DINQ,16,5
Grayhound,Ground Zero,16,4
Ground Zero,DINQ,16,8
Grayhound,Chiefs,16,5
ORDER,MC,16,7
Downfall,Content,1,0
MIBR,Complexity,2,1
WePlayGames,W7M,2,1
Ascent,Bad News Bears,16,12
ATK,Rugratz,16,11
Singularity,Thunder Logic,16,2
All Knights,PELAFUSTANES,2,1
Renegades,Isurus,2,0
ATK,Bushido Boyz,16,12
Bad News Bears,Singularity,16,4
RED Canids,Evidence,2,1
Epsilon,Nemiga,2,1
Liquid,Luminosity,2,1
Ancient,PACT,2,1
Aristocracy,OpTic,2,0
Chaos,Nemiga,2,1
x-kom,Epsilon,2,1
Copenhagen Flames,PACT,2,1
fnatic,HellRaisers,2,1
NIP,mousesports,2,0
FrenchFrogs,Giants,16,10
Movistar Riders,pro100,16,8
SJ,Unicorns of Love,16,5
Vitality,HAVU,16,12
Energy,White Rabbit,2,1
Big 5,Exdee,2,0
Goliath,TOLY,2,0
HAVU,Epsilon,16,11
GamerLegion,Ancient,2,1
Vitality,pro100,16,5
Sinister5,Ladon,2,0
TYLOO,MVP PK,2,1
Chaos,Spirit,19,16
forZe,FrenchFrogs,2,0
Downfall,Fanta,16,9
AOES,FrostFire,2,0
Beyond,Maple,2,0
Lucid Dream,Alpha Red,2,0
Jade,SYF,16,13
MIBR,Isurus,2,0
Renegades,Complexity,2,1
Ascent,BLITZKRIEG,16,12
Mythic,Variance,16,11
Inflames,WePlayGames,2,0
Bad News Bears,New Identity,16,6
TeamOne,Rugratz,16,5
Furious,MITOS,2,1
Rugratz,Thunder Logic,16,7
ATK,Party Astronauts,16,4
Reapers,W7M,2,0
MIBR,eUnited,2,1
HellRaisers,Aristocracy,2,0
Santos,RED Canids,16,13
Redemption POA,INTZ.Academy,16,8
WePlayGames,Reapers,16,7
AVANGAR,Virtus.pro,2,0
OpTic,fnatic,2,1
pro100,expert,16,4
Vitality,Chaos,16,11
Spirit,pro100,22,20
nonamer5,ShotCallers,2,0
LFTOVER,Ramadanpeek,2,1
Movistar Riders,Epsilon,16,14
x-kom,Winstrike,2,0
Vega Squadron,Youngsters,2,1
TYLOO,Alpha Red,2,0
Paradox,Genuine,16,11
D13,Updraft,2,1
MVP PK,Lucid Dream,2,0
ORDER,Athletico,2,0
Grayhound,Downfall,16,7
ahq,TheMongolz,2,0
Ground Zero,Fanta,16,10
Genuine,Justice,16,12
Grayhound,Jade,16,9
paiN,RED Canids,2,1
Luminosity,Cloud9,2,1
Liquid,Spacestation,2,0
BLITZKRIEG,Thunder Logic,16,10
All Knights,Force of Modem,2,0
MIBR,Singularity,2,1
W7M,ratoes,16,3
eUnited,NRG,2,1
DETONA,Evidence,2,0
paiN,Redemption POA,16,7
mousesports,G2,2,0
NIP,Epsilon,2,0
Tricked,Sharks,2,0
Virtus.pro,FaZe,2,1
Nemiga,Epsilon,2,1
AVANGAR,forZe,2,0
HAVU,Sharks,16,6
Epsilon,Youngsters,2,0
